method,comparison_protocol,velocity_direction,symmetry_verified,pd_threshold,mdv_mps,crossing_low_mps,crossing_high_mps,velocity_grid_min_mps,velocity_grid_max_mps,n_cases,n_seeds,mdv_seed_mean_mps,mdv_seed_std_mps,mdv_seed_ci95_low_mps,mdv_seed_ci95_high_mps,mdv_seed_p05_mps,mdv_seed_p95_mps,definition,symmetry_max_abs_pd_difference
Shrinkage-SMI/MVDR global,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Shrinkage-SMI/MVDR local,scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Shrinkage-SMI/MVDR local,scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Shrinkage-SMI/MVDR local,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Corrected JDL physical,scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
Current legacy CSI [production replay],production_replay,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
Current legacy CSI [scientific controlled],scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
DL-SMI/MVDR global,scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
DL-SMI/MVDR local,scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
MNEC physical,scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
Phase-only CSI [production replay],production_replay,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
Phase-only CSI [scientific controlled],scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
Row complex LS / Wiener [scientific controlled],scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
SA-MNEC physical [approximate academic reference],scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
Shrinkage-SMI/MVDR global,scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
Shrinkage-SMI/MVDR local,scientific_controlled,abs_speed_combined,True,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,approaching/receding curves combined only after per-speed mean Pd difference passed the configured symmetry tolerance,0.0
